image_path,label,R_mean,G_mean,B_mean,Gray_mean,hash
../../../PBC_dataset_normal_DIB\basophil\BA_124389.jpg,basophil,223.1458448117539,189.34042699724517,181.6768671564126,198.58041781450873,c77eb79eb2b8f27dc511d646257a8a239ee79269b9002e7f830afbf99b493af9
../../../PBC_dataset_normal_DIB\basophil\BA_124620.jpg,basophil,209.23823079277625,173.8527318640955,178.4461815120906,184.98585858585858,da9848176a7f50486da69953f8aea9bd1b5acf34db3b475d873b6a313e52b5b7
../../../PBC_dataset_normal_DIB\basophil\BA_124938.jpg,basophil,222.40319100091827,190.43260636669729,184.50934343434344,199.37074533210898,515ff82aecfe304bc904bd4ef0cd0fe6dba73fd7ca1c9c4ebd4d1f5aa051992e
../../../PBC_dataset_normal_DIB\basophil\BA_126411.jpg,basophil,220.140786654423,187.36349097030916,182.44630394857668,196.64144475053567,432361674c4489a24ffe9f36b0d1b68d1b76a249572158c62cd02af4e2679ab3
../../../PBC_dataset_normal_DIB\basophil\BA_126424.jpg,basophil,220.08943220079584,186.72139577594123,179.92319406183043,195.90081114172023,5e8b6368a736ed997da045c301830b50415af705ef0c0ac869361fd59d97c45f
../../../PBC_dataset_normal_DIB\basophil\BA_126839.jpg,basophil,217.5014156718702,186.0734695439241,179.8298285889195,194.752318640955,0c27f32890033a331570c630884d633e7248d8dd415db0d1709e1c2ee0e4aece
../../../PBC_dataset_normal_DIB\basophil\BA_127306.jpg,basophil,221.8759029690848,191.58867462503827,186.0819176614631,200.06043005815732,40e6b92b1f0d5e67aca84086be3388fe9ac161d9818675e090a0c986d9bc7064
../../../PBC_dataset_normal_DIB\basophil\BA_127671.jpg,basophil,204.74668651058096,183.38763753757758,207.97073022642795,192.59399203281652,2e248538fbd5ca4d43d48472d6feaea2af5f7a5c192b6c17654cb97ed0a0177a
../../../PBC_dataset_normal_DIB\basophil\BA_127868.jpg,basophil,221.50898377716558,191.1396005509642,182.45208907254363,199.21940618304254,5a4d25372c7a5b02bc3eb7f38915412c7faba4c614a4b32aa12597bbb29bcad4
../../../PBC_dataset_normal_DIB\basophil\BA_128084.jpg,basophil,203.11851555674028,185.81103854754394,206.62476490885126,193.37107379270515,0aabf20ec8ce60c0238c132f84f74a300759be8de15707c272fef673c6e17780
../../../PBC_dataset_normal_DIB\basophil\BA_128423.jpg,basophil,223.31929905111724,190.16320018365474,182.6401132537496,199.28043311906947,9855d84e82102e3ac2d706494059dcf21cf1291c268ccf2dc632820efdc8b772
../../../PBC_dataset_normal_DIB\basophil\BA_129537.jpg,basophil,226.38559840832568,193.7977502295684,186.59044230180595,202.76058310376493,16cc8e18d771ac8e6dda8adfee2e498e849a6cb13f7edccb93dc30af6b8eca10
../../../PBC_dataset_normal_DIB\basophil\BA_129641.jpg,basophil,216.37809152127335,184.20169115396388,180.97618610345884,193.53699877563514,4ee75c715291ab0a11de1ca52d8b75d8b2ab956e692c98f8bba382988fd66718
../../../PBC_dataset_normal_DIB\basophil\BA_129960.jpg,basophil,216.52693602693603,183.09956382001837,178.77022497704317,192.57539026629937,519ecca0531d1d214c86e55e7037a4a55af94be852e1bb230fb53885dc132cfe
../../../PBC_dataset_normal_DIB\basophil\BA_130694.jpg,basophil,226.8178604224059,194.79227884909704,186.65951178451178,203.510705540251,08ff2b631e0f0a3ae7df5a19218e6feddd99eaabd1fdeedf81ed718cfa3c3e30
../../../PBC_dataset_normal_DIB\basophil\BA_130831.jpg,basophil,213.60676461585552,178.2596954392409,177.9232017141108,188.7903045607591,9355f3b0c22bc166b08ce2a947338a56d7cc17b8b3efb7c4825051ac9db4585d
../../../PBC_dataset_normal_DIB\basophil\BA_131174.jpg,basophil,220.24889041934497,186.9042240587695,182.8766069788797,196.4372742577288,1c17b3eb2521077e08114cdfd3346ccd36b73fc04a1930e3ed91aa8a72871d36
../../../PBC_dataset_normal_DIB\basophil\BA_136062.jpg,basophil,221.75297673706766,188.12356902356902,182.33590449954087,197.61540404040403,2820590b5f5202a852b11972b560cfeb0b5b111951712ef77ee29a76ff521298
../../../PBC_dataset_normal_DIB\basophil\BA_136209.jpg,basophil,225.44708448117538,194.6330119375574,183.56867921640648,202.60226507499235,b3fc23cfe2511e1afa16382851e49e62a3ccb953d98c63f577b50ff4c649c86b
../../../PBC_dataset_normal_DIB\basophil\BA_139275.jpg,basophil,216.25195898377717,172.68003520048975,175.4623890419345,186.03973063973064,e2eb5af1c0e0e4db51571e5b6c293be698c08d9695fa7c0353c76ea6cdee8d29
../../../PBC_dataset_normal_DIB\basophil\BA_139552.jpg,basophil,226.1420645852464,195.4069253137435,185.5157483930211,203.52010254055708,281eb79e5946c6830ba9d98e204d917420338084d2650f571c16a7e7abbfabd4
../../../PBC_dataset_normal_DIB\basophil\BA_139733.jpg,basophil,223.49570707070708,188.67490052035507,182.76477655341293,198.41720232629322,caf89dbde7c9f833c07a3508468a7068ad18e235979479ca568988a8199f9e6a
../../../PBC_dataset_normal_DIB\basophil\BA_141630.jpg,basophil,217.76822007958373,184.84513314967862,182.17235996326906,194.4287802265075,31d5626b0cc6b782bfb5ea1557cfecfc5214e6b692df26ae269c3b59b67f29e0
../../../PBC_dataset_normal_DIB\basophil\BA_141631.jpg,basophil,225.04920416284054,193.41172329354148,182.7752295684114,201.65769054178145,8a0e10be97547ec3ca60efcb41200524018290dd2ae39fb1f97bbfeef3073b0d
../../../PBC_dataset_normal_DIB\basophil\BA_142746.jpg,basophil,221.32523722069178,188.6076369758188,183.81315426997244,197.91031527395162,a2fb480e39230d9dc844aab531ac74963d6e94a7283a17352e9ed884cde55faa
../../../PBC_dataset_normal_DIB\basophil\BA_143059.jpg,basophil,220.55971839608202,185.8284358738904,182.8943526170799,195.94754361799815,51db3cf2a0cd1cc8c67fa21e084719ed027c274196db2b4e7248442860495e7b
../../../PBC_dataset_normal_DIB\basophil\BA_14309.jpg,basophil,212.01183807774717,178.8742883379247,179.35768288950106,188.80585399449035,7cc2844a19f8b3cbad98d4f8928e2ca56efcf463ce04766adba07117f1d4d077
../../../PBC_dataset_normal_DIB\basophil\BA_144863.jpg,basophil,220.5267600244873,187.9813590449954,183.19298285889195,197.2373890419345,bc267a43e07fcd215d9ecdbe8df5be306b7438778fbd69be0fd0ac8d0250b28e
../../../PBC_dataset_normal_DIB\basophil\BA_145728.jpg,basophil,225.0389271502908,194.7449877563514,184.17734925007653,202.6704698500153,a2a22bd6146f4a3b64e6cbde22d6f02d5198de915a34f9a837b2046bc8c45232
../../../PBC_dataset_normal_DIB\basophil\BA_147282.jpg,basophil,214.46513621059074,176.7880624426079,177.57283440465258,188.18683807774718,96fc3ca722ecc1f32d90ff5eff8c8afe4848a47b4664cce91966dec7dfb646d0
../../../PBC_dataset_normal_DIB\basophil\BA_147402.jpg,basophil,212.9568411386593,178.62812978267524,178.5653810835629,188.90831802877258,fa5373580777573db6f705d3917b99023a7e797b795f152b64cab7ebacb2c2d3
../../../PBC_dataset_normal_DIB\basophil\BA_147981.jpg,basophil,216.4831573308846,186.5602923171105,180.44975512702786,194.83053259871443,7e34a9ceb8c4a8c333ab7c6b5a64fff1fac354bba8a0793d6c684a87add976a4
../../../PBC_dataset_normal_DIB\basophil\BA_151210.jpg,basophil,223.25874655647382,192.00953474135292,182.73857514539333,200.3133991429446,aa7cad49285ca7fa53e857f251465c2d5d76f0fdfd1cf4fdcb6c06fba76db598
../../../PBC_dataset_normal_DIB\basophil\BA_152650.jpg,basophil,227.08705999387817,196.6742194674013,187.26772268135903,204.79941077441077,759e5c3e6267e4d988bea7c3a6c10f6cb7dbc52031454a673aa84932837354bd
../../../PBC_dataset_normal_DIB\basophil\BA_152708.jpg,basophil,217.20921334557698,183.03640189776553,179.5148224670952,192.91839608203244,30b5ea6b6ffd003079a9af85c749f37d52dd48bb74294e7021056a4f3d1febf4
../../../PBC_dataset_normal_DIB\basophil\BA_152930.jpg,basophil,225.43198653198652,194.49964034282215,184.7247015610652,202.65851698806244,023d897630ba17a08a5d3ed796caa5827f80139f90703463462274ec9587b62e
../../../PBC_dataset_normal_DIB\basophil\BA_153085.jpg,basophil,217.37232170186715,183.48082338536884,180.48759565350474,193.33201714110805,29fe9701fa3155810ca554791a361632fe3eb7ea849c26d5e2072840ff0803b5
../../../PBC_dataset_normal_DIB\basophil\BA_154572.jpg,basophil,224.27285736149372,189.4288184879094,183.8805325987144,199.2329736761555,7a90f66f6e863d940693377f584817dc299d88a7fe40f71aecaf40d8eef6b7c5
../../../PBC_dataset_normal_DIB\basophil\BA_155216.jpg,basophil,228.67128099173553,196.30143862871137,186.69826293235383,204.96093510866237,bc897f634a10784091b72d79c6809edd6b7e02c804b1b5c18079e9b7f277b370
../../../PBC_dataset_normal_DIB\basophil\BA_155436.jpg,basophil,219.5455081114172,188.9331955922865,181.29519436792165,197.26036118763392,9669e7019f4fab20e80fa0fcb741bf9b8403ed9e627b65d1ea1e71c30a0c9e4d
../../../PBC_dataset_normal_DIB\basophil\BA_15551.jpg,basophil,214.19481175390266,181.07962962962964,179.5884756657484,190.85463728191002,7d4ec4f8711f82b03225bbdf852ea865541a784ac355126de85694779fe8dcc1
../../../PBC_dataset_normal_DIB\basophil\BA_157951.jpg,basophil,216.97212274257728,183.848951637588,182.0139194980104,193.56432506887052,ed9f5ec3a06f4a196bee4d11bda6512a3401078ff8da5622d351f61f858c229c
../../../PBC_dataset_normal_DIB\basophil\BA_1581.jpg,basophil,216.58537649219468,184.36671258034895,180.04159779614326,193.50458371594735,e6153163c43bfe0a572a1ea7835b268138eb3704f44d1e44e2061490642bc7e4
../../../PBC_dataset_normal_DIB\basophil\BA_158249.jpg,basophil,226.86776859504133,195.34159014386287,184.85927456382,203.6443449647995,9c342d1cca3f04e4d6fb6dfbe1612db40662d3ab4ac20456cf10fd51dafb2b01
../../../PBC_dataset_normal_DIB\basophil\BA_158647.jpg,basophil,218.49664064891337,185.75204315886134,180.16368227731863,194.88257575757575,a9ad30639c6eb022ae1e88747cb28a39a69507544a54384dd1224f92a22010ad
../../../PBC_dataset_normal_DIB\basophil\BA_161101.jpg,basophil,231.44507193143556,201.4729797979798,187.80334404652586,208.90873890419346,1065e3c8ba3647dad57d60d457b6dcfe802a36e8717a71c763c591a91330faf5
../../../PBC_dataset_normal_DIB\basophil\BA_161905.jpg,basophil,224.01913835322927,187.39563054790327,181.65075757575758,197.7339761248852,197d0a39e168c657abf9afcd0d89e0f3d46ae1c863b2fd6decb4da7a36ab45d5
../../../PBC_dataset_normal_DIB\basophil\BA_162483.jpg,basophil,208.1790691130955,193.43837279902854,214.64842951708206,200.29475617160543,65c51e746a0e931f77c408c84ab0d9f391deaf2305952a390519278a870039b0
../../../PBC_dataset_normal_DIB\basophil\BA_162861.jpg,basophil,214.9894475053566,177.53148148148148,177.8159014386287,188.75410162228343,4692791c26926e6c5f4a21647394b7d10202c44c3843fa1061abfd463a083bd2
../../../PBC_dataset_normal_DIB\basophil\BA_163898.jpg,basophil,218.21562595653504,186.5294077134986,182.1339149066422,195.5050122436486,09fa63f39d2efc097536751b5eb8de41926be0b1f00db18e7052fe818a1ec2af
../../../PBC_dataset_normal_DIB\basophil\BA_164170.jpg,basophil,227.01955922865014,193.96386593204775,186.19923477196204,203.049556167738,f498fc1a819cd1f0ed601bde39e9b7c102cd7095640c711c8c6ed56768409237
../../../PBC_dataset_normal_DIB\basophil\BA_165215.jpg,basophil,204.47429176477556,189.145415907711,208.41789950686393,195.95299657914612,60082e4998020e031a5d3bf8de5263a1a1262b51fa417175608d245f13eb6ecf
../../../PBC_dataset_normal_DIB\basophil\BA_166254.jpg,basophil,230.02905570860116,197.9425160697888,186.18399908172634,206.23063973063972,ab936c82204c0a7fd168bf869928b2107a6820dce66e6893df7cab1635c12c70
../../../PBC_dataset_normal_DIB\basophil\BA_166406.jpg,basophil,220.61208295071933,184.89573767982858,181.27933119069482,195.20024487297215,273cc4f04b996b89aee21e4403ec8295a57db391bbd869d6f727ea56a99f69b5
../../../PBC_dataset_normal_DIB\basophil\BA_166905.jpg,basophil,224.54931894704623,191.39522497704317,185.3776936026936,200.67446434037342,2a99c83c0770ad0a94a19862677ee2b04203061da6643897713ed907678b99b9
../../../PBC_dataset_normal_DIB\basophil\BA_168028.jpg,basophil,214.91132537496173,184.401270278543,178.90544077134987,192.90828741965106,f4eac1e9e051437455d1b28add55d5623853aaf9e015f67f8fdd77f98525d0c7
../../../PBC_dataset_normal_DIB\basophil\BA_168566.jpg,basophil,218.97252066115703,188.5925160697888,182.07715794306702,196.94346495255587,a7bac486f8eecb41a6e1f7f7ccbe664fc0a7f2a8077ba91443068c635ca9e5fb
../../../PBC_dataset_normal_DIB\basophil\BA_172469.jpg,basophil,220.73265993265994,181.81544995408632,180.97868839914295,193.3823002754821,61ee2146f90782914a8a7d646a179e45d9050ef88742619855de0334a375165c
../../../PBC_dataset_normal_DIB\basophil\BA_173262.jpg,basophil,230.62718855218856,198.20733853688398,188.54890572390573,206.89811753902663,f0377d15ca75f165b298b0405cbb2c90ed22c229fed391a35abee21494512b2b
../../../PBC_dataset_normal_DIB\basophil\BA_173620.jpg,basophil,226.12535200489745,191.81720232629323,184.92486225895317,201.3571472298745,5648781048d6aed731283f34e6468a9d9a319f2743116f9b2e3deba10dd8c51b
../../../PBC_dataset_normal_DIB\basophil\BA_174705.jpg,basophil,224.0540480563208,193.97859657177838,184.06776859504131,201.85841750841752,bbf209856e8f99e6b9c87e98d2acbaaba15a29236c5c6988e5c0f0cde9b37aea
../../../PBC_dataset_normal_DIB\basophil\BA_174731.jpg,basophil,218.49122283440465,183.53879706152432,179.02689776553413,193.50967248239976,0a92ba6e89de69826c2178c27f2b6ceff4bd4acda051d9da81f6a3783a05f930
../../../PBC_dataset_normal_DIB\basophil\BA_175269.jpg,basophil,225.5025788184879,192.0102923171105,185.86154729109273,201.38306550352004,7f14361b67994469746ceb0680d4ef18e0f35a580bf8686218fa9439063df606
../../../PBC_dataset_normal_DIB\basophil\BA_175579.jpg,basophil,221.36229721456994,191.2595041322314,182.38432047750229,199.24436792164065,b3d89c366d2ae29f755d63ad2b644521e0afc5ba1619f52cde4e078450b519ed
../../../PBC_dataset_normal_DIB\basophil\BA_176200.jpg,basophil,214.37404346495256,182.05166054484235,179.84104683195594,191.4648224670952,c3c3747f467c8750321e8c5190c145520872a0853536fa077918746f5edab267
../../../PBC_dataset_normal_DIB\basophil\BA_17648.jpg,basophil,216.39325068870522,182.13556779920415,179.03665442301806,192.0392638506275,d982318783e1104ff95e836ef6c352e95e6d59d8ddc8d083282656d55b84a9e0
../../../PBC_dataset_normal_DIB\basophil\BA_177230.jpg,basophil,216.394092439547,180.16465411692684,179.10371135598407,190.91012396694214,7bc1316a67b46ac2d3df57a42e4e540fc6cb7bb7b0f524ec33687f9a48068e1c
../../../PBC_dataset_normal_DIB\basophil\BA_177799.jpg,basophil,221.88448117539028,189.35668809305173,181.84035047444138,198.26470003060913,755636e369efa2287e325135065ba34b4ea27615afce3df2aa9ae5539665f769
../../../PBC_dataset_normal_DIB\basophil\BA_178345.jpg,basophil,210.51393516667406,189.89512343210865,214.42605920594724,198.8582937195492,277eaf12671a85879bb117ac15a66e749927c1a5e7955cf716d8db5c2b03f720
../../../PBC_dataset_normal_DIB\basophil\BA_178358.jpg,basophil,220.77850474441382,186.93125956535047,182.91326140189776,196.63666207529843,a8af73c1b10f9446569c51f83b9c88af11048d9443c201f48cd3117f04362e6a
../../../PBC_dataset_normal_DIB\basophil\BA_178853.jpg,basophil,200.6536730945822,167.32942301805937,174.0734695439241,178.0772115090297,347f8a92497a202be3c536f929c1a71dded7e46c052a07b8461aeda754a5684e
../../../PBC_dataset_normal_DIB\basophil\BA_179459.jpg,basophil,214.92442607897152,180.12595653504744,181.01142485460667,190.69142179369453,087f5702f79eff93ef2897ed87434857cc6c890bf9633418e47b9c1b03440610
../../../PBC_dataset_normal_DIB\basophil\BA_180745.jpg,basophil,217.10404805632078,183.37219926538108,180.97594888276706,193.22450260177533,cfcbd7199983204e87267ad35c0239f93992325ba7d68112b6cfd376e9e619a2
../../../PBC_dataset_normal_DIB\basophil\BA_180990.jpg,basophil,224.93146617692074,191.44885981022344,185.0537878787879,200.77138812366084,683b8f7da26196299c8ec2c8d43ae4323c746fbcebbdb88537e8d6f9eb753a16
../../../PBC_dataset_normal_DIB\basophil\BA_183362.jpg,basophil,224.5800887664524,190.93347872666055,182.935927456382,200.1573767982859,05e9fb058255122a1f9f095b5c0b3dfc8a99612e4dd1392c018dd24c764ba0b5
../../../PBC_dataset_normal_DIB\basophil\BA_184105.jpg,basophil,226.64237832874196,192.2300428527701,185.65312978267525,201.8474900520355,95357be6f0fb055e89dca12d410cb0b43b111f863a6f63ae9862e11a9e6ebf77
../../../PBC_dataset_normal_DIB\basophil\BA_184682.jpg,basophil,222.8459519436792,193.5646005509642,182.0054331190695,200.98080042852771,31b797dd1650d6cd1e20302268a35a1a098a415c7e17402713fbd96725f743b5
../../../PBC_dataset_normal_DIB\basophil\BA_186830.jpg,basophil,216.76593204775023,184.28654729109275,179.53120599938782,193.42517600244872,8dbf2cdb69e2ea85e3b65dfc77d54f0026cbba2e5662c31853122c506a0fe303
../../../PBC_dataset_normal_DIB\basophil\BA_18821.jpg,basophil,221.68575145393328,185.95218089990817,182.98146617692072,196.34957147229875,f674f3e823d07b57b53587bfca2625185ee8cc4eb385554da1876a47ddca85f3
../../../PBC_dataset_normal_DIB\basophil\BA_188974.jpg,basophil,225.6123431282522,189.7905264768901,186.0065886134068,200.13134374043466,e1781f9669b69c4c6dfa3d9a80040fd3c1af4a9ff7d4bd424755401d798c19d9
../../../PBC_dataset_normal_DIB\basophil\BA_189696.jpg,basophil,220.324617385981,188.79964799510253,182.12894092439547,197.46891643709824,07060b3d7a26d45dc0373a4fda7a29b5047d976ed1f07286ffa39eb3b384f37b
../../../PBC_dataset_normal_DIB\basophil\BA_190505.jpg,basophil,218.78587389041934,185.81482246709518,180.36192990511174,195.08171870217325,2f8c34566271e69afd44b71d20dccf26baaefc53d8037d07efa2a154a6341a30
../../../PBC_dataset_normal_DIB\basophil\BA_191120.jpg,basophil,216.6418426691154,182.86200642791553,179.64387817569636,192.6487603305785,a15ff3fc6719c9177325a21d4df172107e90972bba8440c8240e68082d3a8f54
../../../PBC_dataset_normal_DIB\basophil\BA_19177.jpg,basophil,215.18729721456995,183.44394704621976,182.72389041934497,192.89903581267217,52bce1ce56c05b055c1cf5bf10eabe603526f76ff207231ac094118cf8dc9628
../../../PBC_dataset_normal_DIB\basophil\BA_193488.jpg,basophil,226.77782369146004,193.7507499234772,185.61229721456994,202.75521885521886,948c78771ec5743ebea75ab15611e85c3e26f99491f4dd4eab4b5e75523ccc32
../../../PBC_dataset_normal_DIB\basophil\BA_193863.jpg,basophil,225.53295071931436,194.01186103458832,186.3455463728191,202.67225283134374,a4664664162cc73dd160351a15b673c5c18fe5430c218267caec1976b826ab2d
../../../PBC_dataset_normal_DIB\basophil\BA_196745.jpg,basophil,219.2330501989593,185.91992653810834,180.95398683807775,195.35378787878787,4c2b35efe65e906f2cd285af883385d2ff41c72bad547c0b27750663cdc860ad
../../../PBC_dataset_normal_DIB\basophil\BA_196807.jpg,basophil,214.3218931741659,182.07066880930518,180.04496479951027,191.5188934802571,95fcf766f15a2bdec1a5410836808144c8641d3350764896298062d716cf6503
../../../PBC_dataset_normal_DIB\basophil\BA_197357.jpg,basophil,219.71327670645852,185.01331496786042,180.80154576063666,194.94807927762474,7f66262fd9008256a227ea968876bab633d37db14ee2b26f28b7e207d3abf079
../../../PBC_dataset_normal_DIB\basophil\BA_19779.jpg,basophil,220.07944597490052,181.42754055708602,180.92957606366699,192.95574686256504,8f480371670b6ee4c671d27ae1cc00d0fcd58d7d8dd567cfb01c69c0e93bcffe
../../../PBC_dataset_normal_DIB\basophil\BA_198105.jpg,basophil,215.4290404040404,184.01929905111723,179.40073461891643,192.90818028772574,8f8e65df43a2daebf15b7c8401eecd74eff99fa38f007b39814ca79e90869290
../../../PBC_dataset_normal_DIB\basophil\BA_198153.jpg,basophil,219.2866008570554,186.16176155494338,180.54262320171412,195.44038873584327,165f7e4babccd87de70d038664578617aafd16fae1fb5ffe8fded4c4ecafc9e2
../../../PBC_dataset_normal_DIB\basophil\BA_198565.jpg,basophil,222.20835629017446,189.2851086623814,183.66136363636363,198.52733394551575,f412fd31a813a37c0ff16be45ad4ed567275338e3950de6a584c1ca2eb015db4
../../../PBC_dataset_normal_DIB\basophil\BA_199179.jpg,basophil,215.89529384756656,180.58568258340986,179.64440618304255,191.0636134067952,f3a94f1e7c27043ade80874fb0db105de9c9a69e53ddf946c843e4525f00a6a5
../../../PBC_dataset_normal_DIB\basophil\BA_200697.jpg,basophil,220.56112641567188,187.41260330578513,182.3625038261402,196.79133761861036,e08b6cc90ef43ce14b8a801dd14cb55a7ea02db6fc5124d3aa90524afffc1908
../../../PBC_dataset_normal_DIB\basophil\BA_200989.jpg,basophil,212.4116467707377,181.245806550352,178.65170645852464,190.2735766758494,09e28a55bbff81e529124788ac67b0ca17979370ef0713eb00ad2f7a97fcb738
../../../PBC_dataset_normal_DIB\basophil\BA_201200.jpg,basophil,218.42453321089684,186.67388276706458,181.0881772268136,195.5223446587083,e8249df2edec963cf6ef11ec119b728655b7d1bb3210cd55668b8d8200cc23a3
../../../PBC_dataset_normal_DIB\basophil\BA_20161.jpg,basophil,220.28058616467706,187.03921028466482,183.15383379247015,196.5967401285583,90f3bc5a847c9eab3565a8f6882f9db6dac6c2a2244e747bc8908f651a4c7739
../../../PBC_dataset_normal_DIB\basophil\BA_201984.jpg,basophil,225.75926691153964,193.99618916437097,184.35192072237527,202.40514998469544,ca28dae5d6698013764b1877d1f370de8a1f0a9c18446880882cecce644691cf
../../../PBC_dataset_normal_DIB\basophil\BA_20201.jpg,basophil,209.38803948576677,177.01723293541477,176.47669115396388,186.6088689929599,13bef6d6822fbd149eb6090179e09e8761fb83805caeaaed815eaeac476b6d3e
../../../PBC_dataset_normal_DIB\basophil\BA_202924.jpg,basophil,206.84560990418646,188.32703215010292,213.63060701645267,196.75440934737216,67c1b04b63cfa97ce28adb0eb29e5083c780603001c36cc5b56ccfa016a6768f
../../../PBC_dataset_normal_DIB\basophil\BA_2035.jpg,basophil,226.3142638506275,195.11888582797673,187.06483777165596,203.56421028466482,ca9cda881e28de6f244663ec115b839121ce9ed5c93583e393f689d20e041cfc
../../../PBC_dataset_normal_DIB\basophil\BA_204774.jpg,basophil,219.6674012855831,187.50801958983777,181.3520584634221,196.43312672176307,3d2685aaca3ecfe13bb7ec689687a14a4effafbc7c84c6036438c2dbcee14483
